ID=0x1414, offset=0x0001C340, len=13, data=00140014fa83f7b3204f000200
ID=0x1415, offset=0x0001C360, len=13, data=00150000ffffffff0000000002
ID=0x1416, offset=0x0001C380, len=13, data=00160000ffffffff0000000002
ID=0x1417, offset=0x0001C3A0, len=13, data=00170000ffffffff0000000002
ID=0x1418, offset=0x0001C3C0, len=13, data=00180018a11bf3ad0501000100
ID=0x1419, offset=0x0001C3E0, len=13, data=0019001812efd76a0501000100
ID=0x141A, offset=0x0001C400, len=13, data=001a001a3dad8f9b2d00000000
ID=0x141B, offset=0x0001C420, len=13, data=001b001bc1c3b53d0301000000
ID=0x141C, offset=0x0001C440, len=13, data=001c001ca17fe5070301000100
ID=0x141D, offset=0x0001C460, len=13, data=001d0000ffffffff0000000002
ID=0x141E, offset=0x0001C480, len=13, data=001e001ebf20f09a0601000100
ID=0x141F, offset=0x0001C4A0, len=13, data=001f0000ffffffff0000000002
ID=0x1420, offset=0x0001C4C0, len=13, data=00200000ffffffff0000000002
ID=0x1421, offset=0x0001C4E0, len=13, data=00210000ffffffff0000000002
ID=0x1422, offset=0x0001C500, len=13, data=0022001329a6ceb00602000100
ID=0x1423, offset=0x0001C520, len=13, data=00230000ffffffff0000000002
ID=0x1424, offset=0x0001C540, len=13, data=00240000ffffffff0000000002
ID=0x1425, offset=0x0001C560, len=13, data=00250025d1014ae30501000100
ID=0x1426, offset=0x0001C580, len=13, data=00260000ffffffff0000000002
ID=0x1427, offset=0x0001C5A0, len=13, data=0027001b7667d96a0301000000
ID=0x1428, offset=0x0001C5C0, len=13, data=00280000ffffffff0000000002
ID=0x1429, offset=0x0001C5E0, len=13, data=00290000ffffffff0000000002
ID=0x142A, offset=0x0001C600, len=13, data=002a0000ffffffff0000000002
ID=0x142B, offset=0x0001C620, len=13, data=002b002b249ff3780302000100
ID=0x142C, offset=0x0001C640, len=13, data=002c002c50d526550201000100
ID=0x142D, offset=0x0001C660, len=13, data=002d0000ffffffff0000000002
ID=0x142E, offset=0x0001C680, len=13, data=002e001cf80f047a0301000102
ID=0x142F, offset=0x0001C6A0, len=13, data=002f002f3f133fde0501000100
